<66, -3>
<-110, 132>
<113, -28>
<-59, -115>
<-62, -137>
<-48, 134>
<10, 67>
<-124, -73>
<101, 145>
<126, 61>
<60, -22>
<-15, 17>
<38, 135>
<79, 44>
<116, -109>
<67, -57>
<-87, -117>
<-3, -67>
<126, 126>
<85, -18>
<-66, -29>
<73, 110>
<138, -129>
<26, 50>
<-121, 148>
<133, 126>
<96, 82>
<-94, -8>
<142, 116>
<88, -67>
<72, 74>
<-146, 25>
<-8, 136>
<54, -124>
<-21, 147>
<-124, 82>
<48, 38>
<-79, 86>
<136, -95>
<-71, 86>
<-12, -120>
<73, 6>
<68, 2>
<-87, 47>
<51, -80>
<-123, 94>
<63, 123>
<-34, 2>
<-58, -37>
<-8, 149>
